ret_mean,ret_std,n
-2.723636711524646e-05,0.00010482702020435965,10
-2.122039461335268e-05,0.00010330512345000468,10
-3.57898544145141e-05,8.255876426796126e-05,10
-3.7564421854063836e-05,8.189202503204831e-05,10
-1.2603366282115669e-05,4.6524824923541094e-05,10
-2.0444075710768227e-05,4.8108396991426665e-05,10
-2.044407768252432e-05,4.810839606480219e-05,10
-2.044407768252432e-05,4.810839606480219e-05,10
-1.0551161737137881e-05,2.577587966915252e-05,10
-1.0551161737137881e-05,2.577587966915252e-05,10
-1.0551161737137881e-05,2.577587966915252e-05,10
1.2353349150284743e-06,4.3158368266349106e-05,10
-5.392640159751494e-07,4.276711495330909e-05,10
1.6114365971153788e-06,4.2344374580158286e-05,10
4.543306697346594e-06,4.455057763129225e-05,10
2.0446471209978335e-05,4.560615070526028e-05,10
1.0986654844957756e-05,5.8366529038863854e-05,10
1.0986654844957756e-05,5.8366529038863854e-05,10
1.8981940100748496e-05,5.58630128268195e-05,10
1.1296011262029725e-05,6.35265279896294e-05,10
9.367148120464907e-06,6.419691338448443e-05,10
8.286027230830495e-06,6.257101898049515e-05,10
1.477619790110074e-05,6.493727358665838e-05,10
1.4361492665315723e-05,6.502861096826468e-05,10
-1.9262440653200484e-06,7.546152531322207e-05,10
-1.139660223001826e-05,6.751089342939413e-05,10
-1.9174967219592887e-06,6.0840852050134516e-05,10
-1.9174967219592887e-06,6.0840852050134516e-05,10
-5.804008270193784e-06,5.916444983546912e-05,10
-2.1686158526934563e-06,5.5304269084181265e-05,10
-1.1601003150796264e-05,6.562858935786842e-05,10
-2.478553167523101e-05,5.560328059910938e-05,10
-2.700251012527355e-05,5.1952092500058035e-05,10
-2.6963938063029326e-05,5.1974188495400604e-05,10
-1.5392314923023952e-05,4.192971127724943e-05,10
-1.5392314923023952e-05,4.192971127724943e-05,10
-1.5401959058292113e-05,4.1925763821001216e-05,10
-2.634009205210175e-05,5.079195181434553e-05,10
-2.194120821100709e-05,5.505276009054692e-05,10
-2.2289362137617453e-05,5.519403170482744e-05,10
-2.4095823196002008e-05,5.869938610969824e-05,10
-6.6823090567158515e-06,7.589842037074366e-05,10
-1.0965147953889697e-05,7.39844667709911e-05,10
-6.556616161867979e-06,7.599654941595398e-05,10
-7.723812729332202e-06,7.597428937553413e-05,10
-1.9270511892677257e-05,8.310937005380033e-05,10
-7.712831833583955e-06,9.347676591218846e-05,10
3.22530116022568e-06,8.63891252304761e-05,10
-1.1735826808689787e-06,8.519452475279457e-05,10
5.212258709719197e-06,8.401394674845785e-05,10
3.567555768186903e-05,8.409266283329229e-05,10
2.6392854275769652e-05,7.717863867002789e-05,10
2.798413852624915e-05,7.673456146993512e-05,10
2.3922789978692015e-05,7.686235602770223e-05,10
2.508998654615624e-05,7.634867803500546e-05,10
4.2722015339546895e-05,5.857184719558468e-05,10
3.116433528045359e-05,5.3807788296542214e-05,10
3.113540520435221e-05,5.382648025476875e-05,10
3.113540520435221e-05,5.382648025476875e-05,10
1.9610969647332334e-05,6.718543635241575e-05,10
1.8813895150460168e-06,4.019473585781133e-05,10
-5.3808585489090175e-06,3.936039293034371e-05,10
-3.5675791233424903e-06,4.083546030593254e-05,10
-1.5478305823302117e-05,5.3850420576281336e-05,10
-1.5131070037177619e-05,5.3972373737964775e-05,10
-2.156363424762331e-05,4.7335301886287114e-05,10
-4.5002049810738407e-05,8.130851260674572e-05,10
-3.305821051706737e-05,9.604367207915172e-05,10
-3.304856396668665e-05,9.60473661197824e-05,10
-2.3520926001885378e-05,9.387913906523298e-05,10
-2.575902780271866e-05,9.363752402403816e-05,10
-4.282510617313884e-05,0.00010950370096574771,10
-4.045005130229873e-05,0.00011159156021725706,10
-2.69665109342343e-05,0.00010962629007432224,10
-2.730409867992556e-05,0.0001095272936004322,10
-2.551930621128573e-05,0.00011010269984878079,10
-5.997938382806822e-06,8.290183737217628e-05,10
-2.2264221317480627e-05,7.067465996706676e-05,10
-2.2273867867861342e-05,7.067127528866723e-05,10
-3.6418862168752233e-05,7.936074841035951e-05,10
-3.373711764520504e-05,8.017381123634799e-05,10
-1.160677652296549e-05,5.405682916204358e-05,10
-1.4703725399800582e-05,5.040909515804925e-05,10
-2.0473930493791757e-05,4.938920312641637e-05,10
-1.9885277535369727e-05,4.969574455432199e-05,10
-3.147459163401756e-05,5.4133481968117805e-05,10
-2.7576845775600934e-05,5.4915380102888426e-05,10
-2.3225472058496786e-05,5.5235298828360544e-05,10
-3.2403515977041944e-05,5.847738422639699e-05,10
-1.2776289883209557e-05,5.011488579374288e-05,10
